,S,mu,v,s
1,1,1.0,0.0,0.0
2,3,2.0,1.0,1.0
3,5,3.0,2.6666666666666665,1.632993161855452
4,6,3.75,3.6875,1.920286436967152
5,10,5.0,9.2,3.03315017762062
6,3,4.666666666666667,8.222222222222223,2.8674417556808756
7,2,4.285714285714286,7.918367346938775,2.813959371941744
8,11,5.125,11.859375,3.4437443284889775
9,8,5.444444444444445,11.358024691358024,3.370166864022911
10,40,8.9,117.69000000000001,10.84850220076486
11,13,9.272727272727273,108.3801652892562,10.410579488638286
12,24,10.5,115.91666666666667,10.766460266339475
13,5,10.076923076923077,109.14792899408286,10.447388620802945
14,4,9.642857142857142,103.80102040816327,10.188278579238167
15,15,10.0,98.66666666666667,9.93310961716756
16,4,9.625,94.609375,9.726735063730276
17,9,9.588235294117647,89.06574394463668,9.437464910908897
18,14,9.833333333333334,85.13888888888887,9.227073690444271
19,21,10.421052631578947,86.87534626038781,9.320694515989022
20,7,10.25,83.0875,9.115234500549068
21,6,10.047619047619047,79.95011337868479,8.94148272819921
22,37,11.272727272727273,107.83471074380166,10.384349317304462
23,42,12.608695652173912,142.4120982986767,11.9336540212408
24,11,12.541666666666666,136.58159722222223,11.686812962575479
25,16,12.68,131.5776,11.470727962949866
26,17,12.846153846153847,127.20710059171597,11.278612529549722
27,8,12.666666666666666,123.33333333333336,11.105554165971789
28,7,12.464285714285714,120.0344387755102,10.956022945189106
29,13,12.482758620689655,115.90487514863257,10.765912648198135
30,7,12.3,113.01,10.630616162763097
31,19,12.516129032258064,110.76586888657648,10.524536516473136
32,7,12.34375,108.2255859375,10.403152692213068
33,24,12.696969696969697,108.93847566574841,10.437359611786327
34,12,12.676470588235293,105.74826989619378,10.283397779731843
35,11,12.628571428571428,102.80489795918368,10.139275021380161
36,20,12.833333333333334,101.41666666666667,10.070584226680529
37,6,12.64864864864865,99.90357925493062,9.995177800065921
38,23,12.921052631578947,100.02008310249307,10.00100410471334
39,12,12.897435897435898,97.47666009204471,9.873026896147135
40,24,13.175,98.04437499999999,9.901735958911447
41,5,12.975609756097562,97.24330755502676,9.861202135390327
42,4,12.761904761904763,96.80045351473923,9.83872214846721
43,12,12.744186046511627,94.56246619794483,9.724323431372737
44,23,12.977272727272727,94.74948347107438,9.733934634621006
45,9,12.88888888888889,92.98765432098766,9.643010646109838
46,10,12.826086956521738,91.14366729678639,9.546919256848588
47,29,13.170212765957446,94.6518786781349,9.728919707662044
48,4,12.979166666666666,94.39539930555559,9.7157294788171
49,3,12.775510204081632,94.45980841316118,9.719043595599373
50,33,13.18,100.58760000000001,10.029336967118017
51,39,13.686274509803921,111.43098808150711,10.55608772611838
52,8,13.576923076923077,109.89792899408283,10.483221308075244
53,45,14.169811320754716,126.10323958704164,11.22956987542451
54,18,14.24074074074074,124.0346364883402,11.137083841308739
55,13,14.218181818181819,121.80694214876034,11.036618238788563
56,12,14.178571428571429,119.71811224489794,10.941577228393443
57,20,14.280701754385966,118.2019082794706,10.87207010092699
58,18,14.344827586206897,116.39833531510108,10.788806018976386
59,20,14.440677966101696,114.9583453030738,10.7218629586035
60,20,14.533333333333333,113.54888888888892,10.655932098549096
61,31,14.80327868852459,116.05966138134907,10.773098968326108
62,10,14.725806451612904,114.55385015608739,10.702983236279845
63,9,14.634920634920634,113.24766943814565,10.641788826985135
64,12,14.59375,111.5849609375,10.563378291886549
65,9,14.507692307692308,110.34224852071004,10.504391868200178
66,36,14.833333333333334,115.5631313131313,10.750029363361353
67,16,14.850746268656716,113.85832033860551,10.670441431290719
68,84,15.867647058823529,181.46777681660902,13.47099761771967
69,42,16.246376811594203,188.59147237975213,13.732861041303526
70,41,16.6,194.52571428571432,13.947247552320649
