,S,mu,v,s
1,1,1.0,0.0,0.0
2,3,2.0,1.0,1.0
3,2,2.0,0.6666666666666666,0.816496580927726
4,8,3.5,7.25,2.692582403567252
5,5,3.8,6.16,2.4819347291981715
6,4,3.8333333333333335,5.138888888888888,2.266911751455907
7,7,4.285714285714286,5.63265306122449,2.3733211036908783
8,4,4.25,4.9375,2.222048604328897
9,3,4.111111111111111,4.54320987654321,2.1314806770278754
10,13,5.0,11.2,3.3466401061363023
11,10,5.454545454545454,12.24793388429752,3.4997048281673013
12,9,5.75,12.1875,3.491060010942235
13,10,6.076923076923077,12.532544378698223,3.540133384308877
14,7,6.142857142857143,11.693877551020408,3.419631201024521
15,6,6.133333333333334,10.915555555555555,3.303869784897031
16,9,6.3125,10.71484375,3.2733535937933746
17,6,6.294117647058823,10.089965397923875,3.176470588235294
18,5,6.222222222222222,9.617283950617285,3.1011746082117475
19,12,6.526315789473684,10.77562326869806,3.282624448318458
20,9,6.65,10.527500000000002,3.2446109165815247
21,8,6.714285714285714,10.108843537414966,3.1794407585949713
22,9,6.818181818181818,9.87603305785124,3.142615639535201
23,6,6.782608695652174,9.474480151228732,3.0780643513787576
24,5,6.708333333333333,9.206597222222223,3.034237502606252
25,8,6.76,8.902399999999998,2.9836889918354426
26,5,6.6923076923076925,8.674556213017752,2.945259956781023
27,4,6.592592592592593,8.611796982167354,2.9345863391911564
28,18,7.0,12.785714285714286,3.575711717366808
29,15,7.275862068965517,14.475624256837099,3.8046845147577084
30,14,7.5,15.45,3.930648801406709
31,15,7.741935483870968,16.70759625390219,4.087492661021202
32,12,7.875,16.734375,4.090767042988393
33,11,7.96969696969697,16.51423324150597,4.063770815573385
34,14,8.147058823529411,17.066608996539795,4.131175256091152
35,11,8.228571428571428,16.804897959183673,4.099377752681945
36,10,8.277777777777779,16.422839506172842,4.052510272185975
37,15,8.45945945945946,17.1672753834916,4.143341089446004
38,12,8.552631578947368,17.036703601108034,4.127554191177632
39,11,8.615384615384615,16.74950690335306,4.092616144149492
40,12,8.7,16.61,4.075536774462966
41,9,8.707317073170731,16.207019631171924,4.025794285749326
42,8,8.69047619047619,15.8327664399093,3.979040894475615
43,11,8.744186046511627,15.585722011898325,3.9478756327800304
44,8,8.727272727272727,15.243801652892563,3.904331140271348
45,7,8.688888888888888,14.969876543209878,3.8690924702325065
46,14,8.804347826086957,15.244328922495272,3.9043986633661363
47,11,8.851063829787234,15.020371208691717,3.875612365638715
48,10,8.875,14.734375,3.838538133196022
49,11,8.918367346938776,14.523948354852145,3.8110298286489632
50,8,8.9,14.249999999999998,3.7749172176353745
51,7,8.862745098039216,14.039984621299501,3.7469967469027115
52,10,8.884615384615385,13.794378698224854,3.7140784453515323
53,7,8.849056603773585,13.599857600569596,3.6877984761330973
54,6,8.796296296296296,13.495541838134432,3.6736278850932127
55,17,8.945454545454545,14.451570247933885,3.8015220962048724
56,14,9.035714285714286,14.64158163265306,3.8264319715177297
57,13,9.105263157894736,14.655586334256695,3.828261528978486
58,14,9.189655172413794,14.808858501783591,3.848227969050637
59,11,9.220338983050848,14.612467681700657,3.8226257574736056
60,10,9.233333333333333,14.378888888888888,3.7919505388241666
61,13,9.295081967213115,14.371943026068259,3.791034558806904
62,10,9.306451612903226,14.148022892819977,3.761385767615438
63,9,9.301587301587302,13.92491811539431,3.731610659674226
64,14,9.375,14.046875,3.7479160876412374
65,11,9.4,13.87076923076923,3.724348161862587
66,10,9.409090909090908,13.665977961432507,3.6967523532734115
67,11,9.432835820895523,13.499220316328806,3.6741285111341444
68,8,9.411764705882353,13.330449826989618,3.6510888549841702
69,7,9.376811594202898,13.220331863053982,3.6359774288427564
70,10,9.385714285714286,13.036938775510201,3.610670128315546
