,S,mu,v,s
255,8,9.133333333333333,21.260653594771245,4.610927628446498
256,5,9.1171875,21.24407958984375,4.609130025269818
257,6,9.105058365758754,21.19907947130161,4.6042458091745715
258,5,9.089147286821705,21.181975241872482,4.6023879934086915
259,6,9.077220077220078,21.13689420253127,4.5974878142885025
260,5,9.061538461538461,21.119289940828402,4.595572863183479
261,6,9.049808429118775,21.07414747287914,4.590658718841898
262,5,9.034351145038167,21.056071907231516,4.588689563179396
263,22,9.083650190114069,21.61277450881175,4.648954130641831
264,5,9.068181818181818,21.59383608815427,4.646916836802039
265,22,9.116981132075471,22.141032395870415,4.705425846389508
266,5,9.101503759398497,22.121275934196394,4.703326050168794
267,6,9.089887640449438,22.074317215839752,4.698331322484585
268,5,9.074626865671641,22.05413232345734,4.696182739572358
269,17,9.104089219330856,22.20477881731872,4.712194692212825
270,5,9.088888888888889,22.184691358024693,4.710062776442018
271,14,9.107011070110701,22.191500660394055,4.710785567226984
272,5,9.091911764705882,22.171699286332178,4.708683392025012
273,14,9.10989010989011,22.178400354224532,4.709394903193459
274,5,9.094890510948906,22.158879002610686,4.707321850331745
275,14,9.112727272727273,22.16547438016529,4.708022342785268
276,5,9.097826086956522,22.146227158160052,4.705977811056917
277,14,9.115523465703971,22.1527193108212,4.706667537740604
278,5,9.100719424460431,22.13374048962269,4.704650942378477
279,6,9.089605734767025,22.088745005845247,4.699866488087214
280,5,9.075,22.069374999999997,4.6978053386661305
281,6,9.064056939501778,22.02436645939134,4.693012514301591
282,5,9.049645390070921,22.004627533826266,4.690909030649205
283,6,9.03886925795053,21.959619922835845,4.686109252123327
284,5,9.024647887323944,21.93953332672089,4.683965555671913
285,16,9.049122807017543,22.032674669128966,4.693897598918086
286,5,9.034965034965035,22.012763460315906,4.691776151982947
287,17,9.062717770034844,22.156345226966458,4.7070527113010385
288,5,9.04861111111111,22.13652584876543,4.704946954936413
289,17,9.076124567474048,22.277942074448344,4.71995149068805
290,6,9.065517241379311,22.233638525564803,4.71525593425901
291,6,9.054982817869416,22.189416752282096,4.710564377256944
292,6,9.044520547945206,22.145278194783266,4.705876984663249
293,25,9.098976109215018,22.935596221272235,4.789112258161447
294,6,9.08843537414966,22.890138368272478,4.784363946050977
295,8,9.084745762711865,22.816546969261708,4.7766669309531835
296,6,9.074324324324325,22.771502921840757,4.771949593388509
297,8,9.070707070707071,22.69870421385573,4.76431571307525
298,6,9.060402684563758,22.65406963650286,4.759629149051726
299,8,9.05685618729097,22.582051654903186,4.752057623272595
300,6,9.046666666666667,22.53782222222223,4.747401628493447
301,6,9.03654485049834,22.49368108519774,4.742750371377112
302,6,9.026490066225165,22.449629402219205,4.738103988117948
303,6,9.016501650165017,22.405668289601238,4.733462610985877
304,6,9.006578947368421,22.36179882271468,4.728826368425328
305,6,8.99672131147541,22.318022037086802,4.724195385151508
306,6,8.986928104575163,22.274338929471572,4.719569782244095
307,16,9.009771986970684,22.361468026185953,4.728791391696821
308,6,9.0,22.318181818181817,4.724212296053366
309,25,9.05177993527508,23.071752495260835,4.803306412801586
310,6,9.041935483870967,23.027273673257028,4.798674157854128
311,6,9.032154340836012,22.982888927947393,4.794047238810585
312,6,9.022435897435898,22.93859919460881,4.789425768775294
313,16,9.044728434504792,23.02036358439915,4.79795410403217
314,6,9.035031847133759,22.97647977605583,4.79337874323069
315,6,9.025396825396825,22.9326883345931,4.788808655040739
316,6,9.015822784810126,22.888990145809966,4.784243947146714
317,11,9.022082018927446,22.829165381285517,4.777987586974826
318,6,9.0125786163522,22.786005300423245,4.7734688959312646
319,16,9.03448275862069,22.867149497351637,4.78196084230639
320,6,9.025,22.824375,4.777486263716517
321,24,9.071651090342678,23.449694781688844,4.842488490609848
322,6,9.062111801242237,23.406080012345207,4.837983052093631
323,11,9.06811145510836,23.34520603092141,4.831687700061067
324,5,9.055555555555555,23.324074074074073,4.829500395907849
325,16,9.076923076923077,23.400236686390528,4.837379113361958
326,5,9.06441717791411,23.37928601001167,4.835213129740164
327,16,9.085626911314984,23.45444173236447,4.842978601270552
328,5,9.073170731707316,23.433670434265316,4.840833650753279
329,22,9.112462006079028,23.86881126375403,4.885571743793558
330,5,9.1,23.847575757575754,4.883397972475288
331,22,9.138972809667674,24.276759065725944,4.927145123266205
332,5,9.126506024096386,24.25508056321672,4.92494472691996
333,22,9.165165165165165,24.67842617392167,4.967738537193928
334,5,9.152694610778443,24.656325074402098,4.965513576096847
335,30,9.214925373134328,25.876195143684566,5.08686496220261
336,5,9.202380952380953,25.851899092970523,5.084476285023908
337,6,9.192878338278932,25.80552791694917,5.079914164328879
338,5,9.180473372781066,25.78103882917265,5.0775032081893015
339,11,9.185840707964601,25.714725768136372,5.070968918080289
340,5,9.173529411764706,25.69047577854671,5.068577293338508
341,11,9.178885630498534,25.62489142680232,5.062103458721713
342,5,9.166666666666666,25.600877192982463,5.059730940769723
343,11,9.17201166180758,25.53600965584068,5.0533166985496445
344,5,9.159883720930232,25.512227893455925,5.050963065936626
345,6,9.15072463768116,25.46713715605965,5.0464975137276795
346,5,9.138728323699421,25.443182197868285,5.044123531186393
347,11,9.144092219020173,25.379813801293924,5.037838207137455
348,5,9.132183908045977,25.356090632844495,5.0354831578354515
349,14,9.146131805157593,25.3511383321976,5.034991393458146
350,5,9.134285714285713,25.32768163265306,5.032661485998543
351,11,9.13960113960114,25.265411806722348,5.026471108712587
352,5,9.127840909090908,25.242179429235538,5.024159574419938
353,13,9.138810198300284,25.213026346411574,5.02125744673698
354,5,9.127118644067796,25.190055539595903,5.018969569502878
355,13,9.138028169014085,25.16122991469946,5.016097079871906
356,5,9.126404494382022,25.138516285822497,5.0138324947910355
357,22,9.162464985994397,25.531028097513513,5.052823774634685
358,5,9.150837988826815,25.50797415810992,5.050541966770489
359,11,9.155988857938718,25.446419565335468,5.044444425834769
360,5,9.144444444444444,25.42358024691358,5.042180108535749
361,13,9.155124653739612,25.39421889027862,5.039267693849833
362,11,9.160220994475138,25.333445255028845,5.033234075127924
363,11,9.165289256198347,25.27295494387906,5.027221393958999
364,11,9.17032967032967,25.212746045163627,5.021229535199883
365,22,9.205479452054794,25.59339463313942,5.058991464031089
366,11,9.210382513661202,25.532241930186036,5.052943887496282
367,11,9.215258855585832,25.471374796754002,5.0469173558474285
368,11,9.220108695652174,25.410791292533077,5.0409117521072595
369,11,9.224932249322492,25.35048949405483,5.034926960150944
370,11,9.22972972972973,25.29046749452155,5.028962864698998
371,22,9.264150943396226,25.660682500127145,5.065637422884423
372,11,9.268817204301076,25.59978032142444,5.0596225473274625
373,11,9.273458445040214,25.539161497602944,5.053628547648011
374,11,9.27807486631016,25.478824101346905,5.047655307303273
375,11,9.282666666666668,25.418766222222224,5.041702710614959
376,11,9.287234042553191,25.35898596650068,5.035770642761709
377,14,9.29973474801061,25.350477383222284,5.034925757468752
378,11,9.304232804232804,25.291040284426526,5.029019813485181
379,14,9.316622691292876,25.28233582333735,5.0281543157840085
380,11,9.321052631578947,25.22324099722992,5.022274484457208
381,11,9.325459317585302,25.164417439945993,5.016414799430565
382,11,9.329842931937172,25.10586332611496,5.010575149233365
383,13,9.339425587467362,25.075390792765653,5.0075334040588935
384,11,9.34375,25.017252604166668,5.0017249628669775
385,11,9.348051948051948,24.959379321976723,4.995936280816312
386,11,9.352331606217616,24.90176917501141,4.990167249202316
387,25,9.392764857881136,25.468474784501467,5.04663004236505
388,11,9.396907216494846,25.409474970772667,5.040781186559546
389,13,9.406169665809768,25.37744265501814,5.037602867934127
390,11,9.41025641025641,25.318869165023013,5.031785882271126
391,11,9.414322250639387,25.260562136563735,5.025988672546301
392,11,9.418367346938776,25.202519783423575,5.020211129367327
393,11,9.422391857506362,25.144740334997316,5.014453144162115
394,11,9.426395939086294,25.08722203612564,5.008714609171263
395,11,9.430379746835444,25.029963146931586,5.002995417440594
396,11,9.434343434343434,24.972961942658912,4.997295462813752
397,11,9.438287153652393,24.91621671351255,4.991614639924896
398,11,9.442211055276381,24.85972576450089,4.985952844191458
399,14,9.453634085213032,24.849353961344463,4.984912633270965
400,5,9.4425,24.83669375,4.983642618607398
401,14,9.453865336658355,24.82642520879845,4.982612287625684
402,5,9.442786069651742,24.81389074527858,4.981354308346133
403,14,9.45409429280397,24.80372393155552,4.980333716886402
404,5,9.443069306930694,24.791313351632187,4.97908760232557
405,11,9.446913580246914,24.736070720926687,4.973537043284858
