,S,mu,v,s
1,1,1.0,0.0,0.0
2,6,3.5,6.25,2.5
3,3,3.3333333333333335,4.222222222222222,2.0548046676563256
4,3,3.25,3.1875,1.7853571071357126
5,2,3.0,2.8,1.6733200530681511
6,14,4.833333333333333,19.13888888888889,4.374801582802229
7,11,5.714285714285714,21.061224489795915,4.589250972631145
8,8,6.0,19.0,4.358898943540674
9,8,6.222222222222222,17.28395061728395,4.15739709641549
10,7,6.3,15.610000000000003,3.9509492530276824
11,11,6.7272727272727275,16.016528925619834,4.002065582373661
12,8,6.833333333333333,14.805555555555555,3.8477987935383986
13,5,6.6923076923076925,13.905325443786982,3.7289845057048683
14,5,6.571428571428571,13.10204081632653,3.619674131234265
15,4,6.4,12.640000000000004,3.555277766926236
16,11,6.6875,13.08984375,3.617988909601576
17,8,6.764705882352941,12.41522491349481,3.5235245016169268
18,5,6.666666666666667,11.88888888888889,3.4480268109295333
19,5,6.578947368421052,11.401662049861496,3.37663472259904
20,4,6.45,11.147499999999997,3.3387872049593095
21,10,6.619047619047619,11.188208616780045,3.3448779673973226
22,7,6.636363636363637,10.685950413223141,3.268937199339128
23,4,6.521739130434782,10.510396975425328,3.24197424040126
24,4,6.416666666666667,10.32638888888889,3.213469914109807
25,3,6.28,10.361600000000001,3.2189439261969137
26,22,6.884615384615385,19.10207100591716,4.370591608228474
27,19,7.333333333333333,23.62962962962963,4.861031745383857
28,16,7.642857142857143,25.372448979591837,5.037107203503995
29,16,7.931034482758621,26.82282996432818,5.179076169002362
30,15,8.166666666666666,27.538888888888884,5.247750840968813
31,19,8.516129032258064,30.31425598335068,5.505838354270009
32,16,8.75,31.0625,5.573374202401989
33,13,8.878787878787879,30.651974288337925,5.536422517143894
34,13,9.0,30.235294117647058,5.4986629390831965
35,12,9.085714285714285,29.62122448979592,5.442538423364223
36,16,9.277777777777779,30.08950617283951,5.485390247998724
37,13,9.378378378378379,29.640613586559528,5.444319386898561
38,10,9.394736842105264,28.87049861495845,5.37312745195556
39,10,9.41025641025641,28.139381985535838,5.304656632199283
40,9,9.4,27.440000000000005,5.238320341483519
41,16,9.560975609756097,27.807257584770966,5.273258725377597
42,13,9.642857142857142,27.420068027210885,5.236417480225472
43,10,9.651162790697674,26.785289345592215,5.175450641788811
44,10,9.659090909090908,26.17923553719008,5.116564818038571
45,9,9.644444444444444,25.60691358024691,5.060327418284998
46,15,9.76086956521739,25.660207939508506,5.065590581512535
47,12,9.808510638297872,25.218650973291076,5.021817497011523
48,9,9.791666666666666,24.706597222222218,4.970573128143496
49,9,9.775510204081632,24.214910453977513,4.920864807529009
50,8,9.74,23.7924,4.877745380808638
51,19,9.92156862745098,24.97424067666282,4.997423403781474
52,16,10.038461538461538,25.190828402366865,5.0190465630801695
53,13,10.09433962264151,24.87789248843005,4.987774302074027
54,13,10.148148148148149,24.570644718792863,4.956878525724921
55,12,10.181818181818182,24.185123966942154,4.917837326197579
56,16,10.285714285714286,24.346938775510203,4.934261725477298
57,13,10.333333333333334,24.046783625730995,4.903751994721082
58,10,10.327586206896552,23.634066587395953,4.86148810421212
59,10,10.322033898305085,23.235277219189893,4.820298457480605
60,9,10.3,22.876666666666665,4.78295585037816
61,13,10.344262295081966,22.61918839021768,4.75596345551747
62,10,10.338709677419354,22.25624349635795,4.71765232889813
63,7,10.285714285714286,22.07709750566893,4.698627193731051
64,7,10.234375,21.898193359375,4.679550551001133
65,6,10.169230769230769,21.832899408284028,4.672568823279549
66,13,10.212121212121213,21.621671258034894,4.649910887106858
67,10,10.208955223880597,21.299621296502565,4.61515127558161
68,7,10.161764705882353,21.13559688581315,4.597346722383809
69,7,10.115942028985508,20.972064692291532,4.5795266886755375
70,6,10.057142857142857,20.911020408163267,4.572856919712585
71,12,10.084507042253522,20.668914897837734,4.546307831398765
72,9,10.069444444444445,20.397955246913583,4.516409552610744
73,6,10.013698630136986,20.342278100957024,4.510241468143033
74,6,9.95945945945946,20.282140248356463,4.503569722826156
75,5,9.893333333333333,20.335288888888886,4.509466585849028
76,19,10.013157894736842,21.14456371191136,4.598321836486803
77,16,10.090909090909092,21.32939787485242,4.618376107989953
78,13,10.128205128205128,21.16305062458909,4.6003315776788405
79,13,10.164556962025317,20.9982374619452,4.5823833822526465
80,12,10.1875,20.77734375,4.5582171679287065
81,16,10.25925925925926,20.93278463648834,4.575236019757706
82,13,10.292682926829269,20.767995240928013,4.557191595810737
83,10,10.289156626506024,20.51879808390187,4.529767994489549
84,10,10.285714285714286,20.275510204081634,4.50283357499271
85,9,10.270588235294118,20.0561937716263,4.478414202776056
86,13,10.30232558139535,19.90859924283397,4.461905337726694
87,10,10.298850574712644,19.68080327652266,4.436305137896024
88,7,10.261363636363637,19.57941632231405,4.424863424142496
89,7,10.224719101123595,19.47759121323065,4.413342408337546
90,6,10.177777777777777,19.457283950617285,4.411041141342629
91,13,10.208791208791208,19.33003260475788,4.396593295354697
92,10,10.206521739130435,19.12039224952741,4.372687074274514
93,7,10.172043010752688,19.024164643311366,4.361669937456451
94,7,10.138297872340425,18.92768220914441,4.350595615446742
95,6,10.094736842105263,18.906814404432133,4.34819668419359
96,12,10.114583333333334,18.74728732638889,4.329813775024151
97,9,10.103092783505154,18.566691465618025,4.308908384454005
98,6,10.061224489795919,18.5472719700125,4.306654382465871
99,6,10.02020202020202,18.524844403632283,4.304049767792223
100,5,9.97,18.589100000000002,4.311507856887194
101,18,10.049504950495049,19.037153220272522,4.363158628822991
102,15,10.098039215686274,19.088427527873893,4.369030502053504
103,12,10.116504854368932,18.93788292958809,4.3517677936199775
104,12,10.134615384615385,18.78957100591716,4.334693876840343
105,11,10.142857142857142,18.61768707482993,4.314821789463608
106,15,10.18867924528302,18.662513349946604,4.3200131191868625
107,12,10.205607476635514,18.518473229102977,4.303309566961571
108,9,10.194444444444445,18.36033950617284,4.284896673920252
109,9,10.18348623853211,18.204864910361085,4.266715939731761
110,8,10.163636363636364,18.08231404958678,4.252330425729729
111,12,10.18018018018018,17.949517084652218,4.236687041150457
112,9,10.169642857142858,17.801578443877553,4.2191916813386845
113,6,10.132743362831858,17.796538491659486,4.218594373918816
114,6,10.096491228070175,17.788935056940595,4.217693096580238
115,5,10.052173913043479,17.85814744801512,4.2258901367658765
116,12,10.068965517241379,17.73662306777646,4.21148703758856
117,9,10.05982905982906,17.594711081890566,4.194604997123157
118,6,10.025423728813559,17.584099396725072,4.193339885666922
119,6,9.991596638655462,17.57135795494668,4.191820362914743
120,5,9.95,17.63083333333333,4.19890858835166
121,11,9.958677685950413,17.49416023495663,4.182602089005913
122,8,9.942622950819672,17.3819537758667,4.169167036215592
123,5,9.902439024390244,17.437636327582787,4.1758395955284
124,5,9.862903225806452,17.489268990634752,4.182017335047136
125,4,9.816,17.622143999999995,4.197873747505992
126,30,9.976190476190476,20.689909297052154,4.5486161958393625
127,27,10.11023622047244,22.790997581995164,4.773991786963522
128,24,10.21875,24.1083984375,4.9100303906900615
129,24,10.325581395348838,25.382368848025962,5.038091786383607
130,23,10.423076923076923,26.41331360946746,5.139388447030197
131,27,10.549618320610687,28.29333954897733,5.319148385688947
132,24,10.651515151515152,29.439164370982553,5.425786981718187
133,21,10.729323308270677,30.016959692464244,5.478773557326881
134,21,10.805970149253731,30.574292715526845,5.529402564068459
135,20,10.874074074074073,30.969327846364884,5.565009240456379
136,24,10.970588235294118,31.999134948096888,5.6567777884672905
137,21,11.043795620437956,32.49443230859396,5.700388785740317
138,18,11.094202898550725,32.607067842890146,5.71025987525
139,18,11.143884892086332,32.713110087469595,5.719537576366607
140,17,11.185714285714285,32.72265306122449,5.720371759005221
141,24,11.27659574468085,33.64689904934359,5.8005947151428865
142,21,11.345070422535212,34.07106724856179,5.837042680035995
143,18,11.391608391608392,34.14034916132819,5.8429743420049505
144,18,11.4375,34.204427083333336,5.848455102275586
145,17,11.475862068965517,34.180451843044,5.846405035835612
146,23,11.554794520547945,34.84973728654531,5.903366606144778
147,20,11.612244897959183,35.09454394002499,5.92406481565023
148,17,11.64864864864865,35.05222790357926,5.920492201124773
149,17,11.684563758389261,35.00788252781406,5.916745940786545
150,16,11.713333333333333,34.897822222222224,5.907437872904143
151,27,11.814569536423841,36.204026139204416,6.016978156783056
152,24,11.894736842105264,36.93628808864266,6.0775231870098745
153,21,11.954248366013072,37.23320090563459,6.1019014172333685
154,21,12.012987012987013,37.51931185697419,6.125300960522201
155,20,12.064516129032258,37.68616024973986,6.138905460237994
156,24,12.14102564102564,38.35190664036818,6.192891621881347
157,21,12.197452229299364,38.60432471905554,6.213237861136135
158,18,12.234177215189874,38.57174331036693,6.210615372921344
159,18,12.270440251572326,38.53692496341126,6.207811608240964
160,17,12.3,38.435,6.199596761080514
161,21,12.354037267080745,38.66347748929439,6.217996259993599
162,18,12.38888888888889,38.620370370370374,6.21452897413556
163,15,12.404907975460123,38.4250065866235,6.198790735830942
164,15,12.420731707317072,38.23152141582391,6.183164352968786
165,14,12.43030303030303,38.01483930211203,6.165617511824102
166,21,12.481927710843374,38.22557700682247,6.1826836411725345
167,18,12.51497005988024,38.177919609882025,6.178828336333841
168,15,12.529761904761905,37.98720946712018,6.163376466444361
169,15,12.544378698224852,37.79832638913203,6.148034351655172
170,14,12.552941176470588,37.588373702422146,6.130935793369732
171,20,12.596491228070175,37.69098184056632,6.139298155373
172,17,12.622093023255815,37.58393050297458,6.130573423667201
173,14,12.630057803468208,37.377593638277254,6.113721750151642
174,14,12.637931034482758,37.173503765358696,6.0970077714694355
